"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant"
"CD2",-2.05262777926518,9.64021166331602,-12.5101217009464,1.94564110973376e-18,8.2904097455435e-16,31.6587609221789,"Down"
"CDK5RAP2",2.03683059470707,7.40891240224165,12.4962315283111,2.04293262314062e-18,8.5598876909592e-16,31.6108104602727,"Up"
"PRF1",-2.1868696619808,9.37065619553662,-12.4818707760315,2.14869369391206e-18,8.8554359778605e-16,31.5612085742357,"Down"
"FBL",-1.56859566426452,8.99810107103192,-12.4004952755006,2.86155852640478e-18,1.16031582828736e-15,31.2796218987958,"Down"
"MCM3",-1.30317348406193,8.31294831999795,-12.3109409596776,3.92608016069019e-18,1.56669294031352e-15,30.9687207534297,"Down"
"LOC649821",-1.25717989371931,10.8466991736251,-12.2880648090148,4.25713075345024e-18,1.67225417408967e-15,30.8891329492816,"Down"
"LOC653314",-1.38730163116395,12.3558340137999,-12.2584135928653,4.72857317437174e-18,1.82886660928778e-15,30.78587152001,"Down"
"HBXIP",1.15652322899156,10.0751847276006,12.2271269126586,5.28337608921807e-18,2.01248598307488e-15,30.6767889732347,"Up"
"RPUSD2",-1.24812268775751,7.80134708514962,-12.1844174689875,6.14852240253184e-18,2.30707243581568e-15,30.5276725559995,"Down"
"C16orf57",1.23374436006887,8.27693285511534,12.1717700947742,6.43120860265869e-18,2.37765565104176e-15,30.4834693251616,"Up"
"EEF2",-1.37767695065829,12.110377799344,-12.151147002591,6.9206064232534e-18,2.5215079055158e-15,30.4113455188347,"Down"
